                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.40337,                0.40622,                0.98944,                0.79517,                0.77911,                0.82334,                0.69235,                0.67624,                0.95754,                 1.1302,             0.00016972,             0.00016972,             0.00016972
                     79,                0.38712,                0.39292,                0.97363,                0.79133,                0.78226,                 0.8135,                0.67045,                0.71782,                 1.0274,                 1.1642,             0.00016265,             0.00016265,             0.00016265
                     80,                0.38871,                0.39499,                0.97652,                0.78229,                0.73262,                0.78539,                0.64298,                0.70791,                 1.0352,                 1.1605,             0.00015558,             0.00015558,             0.00015558
                     81,                 0.4062,                0.41627,                0.98463,                0.78308,                0.75112,                0.78338,                0.64457,                0.75056,                 1.1314,                 1.1959,             0.00014851,             0.00014851,             0.00014851
                     82,                0.39163,                0.40131,                0.98144,                0.79445,                0.70878,                0.75766,                0.61202,                0.74969,                 1.0184,                 1.2042,             0.00014144,             0.00014144,             0.00014144
                     83,                0.39376,                0.39659,                0.98518,                0.75915,                0.71492,                  0.772,                0.64017,                0.77076,                 1.0413,                 1.2373,             0.00013437,             0.00013437,             0.00013437
                     84,                0.37547,                 0.3767,                0.96866,                0.71147,                0.76341,                0.78111,                0.64952,                0.72002,                0.98636,                 1.1773,             0.00012731,             0.00012731,             0.00012731
                     85,                0.37588,                0.40066,                0.96526,                0.73138,                0.72376,                0.77759,                0.64151,                 0.7256,                0.98943,                 1.1575,             0.00012024,             0.00012024,             0.00012024
                     86,                0.39559,                0.39543,                0.98229,                0.73334,                0.75816,                0.78254,                0.67173,                0.70214,                 1.0207,                 1.1396,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.3778,                0.37791,                0.97147,                0.84576,                0.68622,                0.78041,                0.68091,                0.69551,                0.98727,                 1.1509,              0.0001061,              0.0001061,              0.0001061
                     88,                0.36894,                 0.3772,                0.97503,                0.76676,                0.72351,                0.78904,                0.66666,                0.70997,                0.97509,                 1.1622,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.36648,                0.37548,                 0.9688,                0.83653,                 0.7201,                0.80016,                0.66925,                 0.7113,                0.96952,                 1.1547,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.3682,                0.36338,                0.97175,                0.79572,                0.70461,                0.77699,                 0.6647,                0.73881,                 1.0903,                 1.1698,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.27301,                 0.3195,                0.88965,                0.82069,                0.64517,                 0.7533,                  0.611,                0.69843,                 1.1132,                 1.1522,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.27096,                0.29296,                0.90299,                0.83632,                0.66197,                0.76863,                0.62994,                0.69696,                  1.021,                 1.1647,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.25901,                0.28721,                0.89128,                0.83956,                0.71639,                0.80033,                0.65169,                0.69109,                 1.0159,                   1.15,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.25245,                0.27843,                0.88395,                0.87345,                0.71227,                0.80017,                0.67378,                0.68884,                 1.0284,                 1.1573,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.25127,                0.28401,                0.88438,                0.86814,                0.70675,                0.80475,                0.66816,                0.70482,                 1.0546,                 1.1773,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.23826,                0.26824,                0.86941,                0.84898,                0.70658,                0.80317,                0.66696,                0.69255,                 1.0256,                 1.1604,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.24067,                0.25899,                0.87674,                0.77372,                0.73291,                0.79937,                 0.6636,                0.68501,                  1.022,                 1.1556,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.23375,                0.25856,                0.87083,                 0.8077,                0.71883,                0.79987,                0.66118,                0.69569,                 1.0076,                 1.1715,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.23042,                 0.2542,                0.86617,                0.72789,                0.76705,                0.80095,                0.66183,                0.69998,                  1.008,                 1.1855,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.23689,                0.26058,                0.87373,                0.77946,                0.77423,                0.81088,                0.66835,                0.69162,                0.98934,                 1.1699,             1.4209e-05,             1.4209e-05,             1.4209e-05
